log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status,name,city,shift_preference,avg_hours_per_day,avg_earnings_per_hour,experience_months,rating,goal_id,shift_start_time,shift_end_time,target_earnings,target_hours,current_earnings,current_hours,status,earnings_velocity,goal_completion_forecast,trip_id,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status,hour_of_day,is_morning_rush,is_lunch_rush,trip_rate,velocity_last_1,velocity_last_2,velocity_last_3,rolling_velocity_3,rolling_velocity_5,goal_pressure,target
VEL101,DRV004,2024-02-06,1900-01-01 19:35:00,1745.1108251927292,1.86,605.6650556580229,199.0,739.17,9,ahead,Meera Sharma,Pune,morning,6.8,180,12,4.6,GOAL004,06:00:00,13:00:00,1100.0,7.0,403.0,2.3,in_progress,175.22,at_risk,TRIP121,07:07:00,07:26:00,19.0,14.2,377.0,1.4,Hitec City,Secunderabad,completed,19.0,0,0,4.697314599620402,600.0,600.0,600.0,600.0,600.0,-401.0,600.0
VEL068,DRV004,2024-02-06,1900-01-01 19:35:00,887.0,0.54,600.0,193.0,1449.59,13,ahead,Meera Sharma,Pune,morning,6.8,180,12,4.6,GOAL004,06:00:00,13:00:00,1100.0,7.0,403.0,2.3,in_progress,175.22,at_risk,TRIP121,07:07:00,07:26:00,19.0,14.2,377.0,1.4,Hitec City,Secunderabad,completed,19.0,0,0,24.074074074074073,600.0,600.0,600.0,600.0,600.0,-407.0,600.0
VEL127,DRV082,2024-02-06,1900-01-01 07:38:00,159.0,6.04,26.32,201.0,-174.68,7,at_risk,Anita Driver82,Pune,morning,7.0,204,34,4.6,GOAL081,08:07:00,18:17:00,1593.0,9.8,363.0,2.4,at_risk,151.25,ahead,TRIP124,10:28:00,10:50:00,22.0,19.8,293.0,1.5,Kharadi,Connaught Place,completed,7.0,0,0,1.1589403973509933,377.93,377.93,189.2,334.75,287.222,174.68,600.0
VEL038,DRV029,2024-02-06,1900-01-01 10:28:00,795.0130907138276,7.93,106.42980227049556,200.0,-98.87,7,at_risk,Kavitha Driver29,Pune,afternoon,7.0,181,12,4.5,GOAL028,10:17:00,20:27:00,1743.0,8.2,625.0,1.8,in_progress,347.22,on_track,TRIP073,07:31:00,07:59:00,28.0,13.4,154.0,1.5,Hitec City,Powai,completed,10.0,0,0,0.8897027171860385,101.13,126.81,600.0,126.81,443.724,98.87,350.76
VEL154,DRV118,2024-02-06,1900-01-01 07:03:00,1307.3542535137221,6.25,212.50684209986875,181.0,27.16,12,ahead,Anita Driver118,Hyderabad,evening,8.0,173,33,4.5,GOAL117,06:30:00,16:40:00,1146.0,7.0,864.0,2.3,in_progress,375.65,ahead,TRIP167,17:29:00,17:00:00,31.0,17.4,210.0,1.5,Connaught Place,Gurgaon Cyber City,completed,7.0,0,0,1.7415815115908921,208.16,77.72,77.72,164.67999999999998,129.89600000000002,-27.159999999999997,208.16
VEL072,DRV009,2024-02-06,1900-01-01 19:35:00,660.6723652481769,4.3,155.18075213606465,188.0,-34.51,9,at_risk,Karthik Iyer,Mumbai,afternoon,6.5,192,19,4.7,GOAL009,14:00:00,20:00:00,1100.0,6.0,384.0,2.0,in_progress,192.0,on_track,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,19.0,0,0,1.897789420765292,153.49,153.49,153.49,156.58,443.724,34.50999999999999,153.49
VEL029,DRV057,2024-02-06,1900-01-01 08:32:00,2032.8799628779786,2.87,597.1519647337358,183.0,526.41,14,ahead,Rekha Driver57,Ahmedabad,morning,6.6,175,25,4.9,GOAL056,07:45:00,15:55:00,1687.0,7.0,345.0,3.5,achieved,98.57,ahead,TRIP065,11:35:00,11:00:00,25.0,11.0,336.0,1.2,Colaba,Electronic City,completed,8.0,0,0,5.264307555546543,600.0,600.0,366.06,307.51666666666665,287.222,-417.0,120.39
VEL154,DRV118,2024-02-06,1900-01-01 07:03:00,1303.1416356059722,6.25,198.0847468088711,181.0,27.16,12,ahead,Anita Driver118,Hyderabad,evening,8.0,173,33,4.5,GOAL117,06:30:00,16:40:00,1146.0,7.0,864.0,2.3,in_progress,375.65,ahead,TRIP167,17:29:00,17:00:00,31.0,17.4,210.0,1.5,Connaught Place,Gurgaon Cyber City,completed,7.0,0,0,1.9652872572497655,208.16,77.72,77.72,164.67999999999998,129.89600000000002,-27.159999999999997,208.16
VEL111,DRV042,2024-02-06,1900-01-01 08:32:00,1430.0,6.84,209.06,205.0,4.06,2,ahead,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,GOAL041,06:53:00,13:03:00,1298.0,7.3,892.0,7.5,achieved,118.93,at_risk,TRIP144,06:48:00,06:18:00,30.0,13.8,442.0,1.4,Secunderabad,CP,completed,8.0,0,0,0.29239766081871343,209.06,209.06,209.06,209.06,177.208,-4.060000000000002,600.0
VEL113,DRV107,2024-02-06,1900-01-01 10:22:00,390.33886710505874,1.13,325.87405253349743,183.0,157.71,9,ahead,Priya Driver107,Mumbai,full_day,7.3,190,39,4.9,GOAL106,06:02:00,12:12:00,1172.0,8.3,456.0,6.6,in_progress,69.09,at_risk,TRIP001,06:45:00,07:03:00,18.0,8.2,145.0,1.0,Andheri West,BKC,completed,10.0,0,0,7.420991318626684,340.71,340.71,340.71,340.71,340.71,-157.70999999999998,340.71
VEL056,DRV011,2024-02-06,1900-01-01 09:42:00,2050.5962641992005,6.99,305.76056790099983,189.0,104.13,5,ahead,Neha Driver11,Ahmedabad,morning,6.3,184,8,4.6,GOAL210,06:48:00,12:58:00,1540.0,9.5,443.0,4.0,achieved,110.75,at_risk,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,9.0,0,0,0.7237315233757344,293.13,293.13,293.13,300.50333333333333,443.724,-104.13,293.13
VEL054,DRV095,2024-02-06,1900-01-01 11:15:00,1389.0,5.66,245.41,176.0,69.41,11,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP007,10:48:00,11:15:00,27.0,13.8,245.0,1.0,Andheri,Malad,completed,11.0,0,0,1.9434628975265018,189.2,189.2,189.2,207.93666666666664,287.222,-69.41,245.41
VEL068,DRV004,2024-02-06,1900-01-01 19:35:00,892.2264122773573,0.54,607.5883803392447,193.0,1449.59,13,ahead,Meera Sharma,Pune,morning,6.8,180,12,4.6,GOAL203,10:06:00,17:16:00,1166.0,7.5,403.0,3.7,at_risk,108.92,at_risk,TRIP099,09:33:00,09:59:00,26.0,14.2,363.0,1.5,Koramangala,HSR Layout,completed,19.0,0,0,21.319526310720814,600.0,600.0,600.0,600.0,600.0,-407.0,600.0
VEL059,DRV042,2024-02-06,1900-01-01 08:32:00,239.43029663495003,4.9,52.554751701467474,201.0,-151.2,8,at_risk,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,GOAL041,06:53:00,13:03:00,1298.0,7.3,892.0,7.5,achieved,118.93,at_risk,TRIP012,08:50:00,09:18:00,28.0,14.2,295.0,1.0,CP,Gurgaon Cyber City,completed,8.0,0,0,1.465549327368609,49.8,49.8,49.8,49.8,81.652,151.2,49.8
VEL093,DRV025,2024-02-06,1900-01-01 07:38:00,508.1888352827582,3.22,155.68486834419994,186.0,-26.37,13,at_risk,Rekha Driver25,Pune,morning,7.3,198,14,4.8,GOAL024,07:10:00,14:20:00,1283.0,9.1,305.0,4.2,achieved,72.62,ahead,TRIP159,09:33:00,09:54:00,21.0,16.5,364.0,1.5,CP,Jayanagar,completed,7.0,0,0,4.3589864544857235,159.63,159.63,159.63,246.22666666666666,443.724,26.370000000000005,449.4
VEL095,DRV054,2024-02-06,1900-01-01 08:32:00,191.33598155457585,1.23,159.4480537406925,179.0,-24.53,7,at_risk,Amit Driver54,Hyderabad,afternoon,8.0,193,28,5.0,GOAL053,08:01:00,18:11:00,1419.0,8.6,629.0,3.6,in_progress,174.72,at_risk,TRIP075,09:45:00,09:12:00,27.0,11.8,182.0,1.1,Malad,Kharadi,completed,8.0,0,0,6.15751623279242,159.72,159.72,366.06,194.17,287.222,24.53,268.32
VEL020,DRV068,2024-02-06,1900-01-01 08:32:00,1939.0,6.56,295.58,179.0,116.58,5,ahead,Deepa Driver68,Kolkata,evening,8.9,192,39,4.9,GOAL067,06:47:00,16:57:00,1598.0,6.5,1420.0,4.5,at_risk,315.56,on_track,TRIP160,10:40:00,10:01:00,21.0,19.7,192.0,1.5,BKC,Kharadi,completed,8.0,0,0,0.7621951219512195,295.58,295.58,189.2,210.98000000000002,287.222,-116.57999999999998,135.33
VEL046,DRV054,2024-02-06,1900-01-01 08:32:00,1042.7709902535685,6.53,173.1342666731324,177.0,-17.28,12,on_track,Amit Driver54,Hyderabad,afternoon,8.0,193,28,5.0,GOAL053,08:01:00,18:11:00,1419.0,8.6,629.0,3.6,in_progress,174.72,at_risk,TRIP075,09:45:00,09:12:00,27.0,11.8,182.0,1.1,Malad,Kharadi,completed,8.0,0,0,1.8808644715687919,159.72,159.72,366.06,194.17,287.222,17.28,154.47
VEL040,DRV049,2024-02-06,1900-01-01 08:32:00,1759.4479048572248,3.43,519.5989989866671,198.0,313.08,12,ahead,Arun Driver49,Hyderabad,afternoon,8.6,192,21,4.6,GOAL048,10:19:00,17:29:00,1214.0,7.5,238.0,6.6,in_progress,36.06,at_risk,TRIP037,07:19:00,07:46:00,27.0,11.2,292.0,1.6,Dwarka,Marathahalli,completed,8.0,0,0,3.6348617237733323,511.08,159.72,366.06,194.17,287.222,-313.08,343.66
VEL083,DRV053,2024-02-06,1900-01-01 08:32:00,1725.3709222537893,5.37,321.5362431927335,175.0,143.99,7,ahead,Deepa Driver53,Bangalore,evening,8.2,182,28,4.7,GOAL052,10:55:00,16:05:00,1441.0,7.9,294.0,2.2,at_risk,133.64,ahead,TRIP034,16:58:00,16:34:00,36.0,9.2,390.0,1.1,Secunderabad,Goregaon,completed,8.0,0,0,1.2839156762908004,318.99,159.72,366.06,194.17,287.222,-143.99,318.99
VEL050,DRV100,2024-02-06,1900-01-01 07:28:00,2084.7205180264295,1.85,573.258050447848,168.0,961.73,2,ahead,Deepa Driver100,Chennai,full_day,8.4,171,38,4.5,GOAL099,07:46:00,15:56:00,1357.0,6.8,248.0,5.5,in_progress,45.09,ahead,TRIP105,15:15:00,15:38:00,23.0,17.0,279.0,1.3,Secunderabad,Hinjewadi,completed,7.0,0,0,1.0273921619926163,600.0,600.0,340.71,600.0,340.71,-432.0,600.0
VEL043,DRV047,2024-02-06,1900-01-01 08:32:00,379.0011709019694,6.87,54.32282700870809,184.0,-130.0,8,at_risk,Priya Driver47,Hyderabad,afternoon,7.0,193,8,4.7,GOAL046,09:11:00,19:21:00,1219.0,9.5,969.0,3.5,achieved,276.86,ahead,TRIP169,07:43:00,07:01:00,18.0,16.6,404.0,1.6,Lower Parel,Koramangala,completed,8.0,0,0,1.2376784275734865,54.0,54.0,54.0,48.16,287.222,130.0,36.48
VEL115,DRV007,2024-02-06,1900-01-01 19:35:00,2241.118210809273,7.49,286.7748500196698,173.0,125.13,8,ahead,Suresh Kumar,Bangalore,morning,7.2,178,15,4.7,GOAL007,06:30:00,13:30:00,1200.0,7.0,245.0,2.0,in_progress,122.5,at_risk,TRIP172,10:04:00,10:38:00,34.0,19.7,354.0,1.2,Secunderabad,Colaba,completed,19.0,0,0,1.0678179451368872,298.13,298.13,298.13,298.13,298.13,-125.13,298.13
VEL016,DRV103,2024-02-06,1900-01-01 07:28:00,242.13390007729205,1.47,175.28478976407058,171.43,-4.76,1,at_risk,Amit Driver103,Bangalore,afternoon,7.7,192,21,4.9,GOAL102,09:59:00,17:09:00,1537.0,8.8,862.0,3.2,in_progress,269.38,at_risk,TRIP163,13:01:00,13:39:00,38.0,12.4,210.0,1.1,Goregaon,Gurgaon Cyber City,completed,7.0,1,0,0.6504427454943014,166.67,340.71,340.71,340.71,340.71,4.760000000000019,32.91
VEL064,DRV060,2024-02-06,1900-01-01 08:32:00,2427.0,6.63,366.06,198.0,168.06,8,ahead,Priya Driver60,Ahmedabad,afternoon,7.3,184,45,4.8,GOAL059,07:45:00,17:55:00,1180.0,9.9,973.0,6.5,at_risk,149.69,on_track,TRIP141,15:27:00,15:52:00,25.0,10.4,431.0,1.5,Dwarka,BKC,completed,8.0,0,0,1.2066365007541477,366.06,366.06,366.06,366.06,287.222,-168.06,366.06
VEL214,DRV008,2024-02-06,1900-01-01 19:35:00,891.7314826995765,5.36,172.4762584957544,166.0,-0.33,5,on_track,Divya Menon,Chennai,full_day,9.0,188,22,4.8,GOAL008,08:00:00,18:00:00,1700.0,10.0,856.0,4.5,in_progress,190.22,on_track,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,19.0,0,0,1.01766144409635,30.55,30.55,127.42,75.58999999999999,96.322,0.3300000000000125,165.67
VEL027,DRV115,2024-02-06,1900-01-01 07:03:00,1643.5053841378933,6.48,254.82879208946278,173.0,80.86,9,ahead,Vijay Driver115,Ahmedabad,afternoon,8.0,184,14,4.8,GOAL114,08:31:00,18:41:00,1560.0,9.9,233.0,1.7,in_progress,137.06,at_risk,TRIP041,11:47:00,11:14:00,27.0,13.2,416.0,1.2,Connaught Place,Dwarka,completed,7.0,0,0,1.3481333062138694,77.67,77.67,77.72,120.09000000000002,129.89600000000002,-80.86000000000001,28.74
VEL101,DRV004,2024-02-06,1900-01-01 19:35:00,1745.0,1.86,600.0,199.0,739.17,9,ahead,Meera Sharma,Pune,morning,6.8,180,12,4.6,GOAL203,10:06:00,17:16:00,1166.0,7.5,403.0,3.7,at_risk,108.92,at_risk,TRIP121,07:07:00,07:26:00,19.0,14.2,377.0,1.4,Hitec City,Secunderabad,completed,19.0,0,0,4.838709677419355,600.0,600.0,600.0,600.0,600.0,-401.0,600.0
VEL007,DRV096,2024-02-06,1900-01-01 11:15:00,1418.0137217554145,5.25,256.504214750379,175.0,96.05,7,ahead,Rahul Driver96,Bangalore,morning,7.9,205,45,4.6,GOAL095,08:33:00,14:43:00,1199.0,9.7,852.0,3.8,achieved,224.21,ahead,TRIP173,11:11:00,11:46:00,35.0,18.5,300.0,1.5,Andheri West,CP,completed,11.0,0,0,1.3081709719435923,271.05,271.05,271.05,348.05333333333334,340.71,-96.05000000000001,502.06
VEL026,DRV068,2024-02-06,1900-01-01 08:32:00,927.6751661550909,6.85,142.5108189773626,192.0,-56.67,6,at_risk,Deepa Driver68,Kolkata,evening,8.9,192,39,4.9,GOAL067,06:47:00,16:57:00,1598.0,6.5,1420.0,4.5,at_risk,315.56,on_track,TRIP160,10:40:00,10:01:00,21.0,19.7,192.0,1.5,BKC,Kharadi,completed,8.0,0,0,0.8802815242080727,295.58,295.58,189.2,210.98000000000002,287.222,56.66999999999999,202.03
VEL113,DRV107,2024-02-06,1900-01-01 10:22:00,383.07050167933716,1.13,358.1971134817945,183.0,157.71,9,ahead,Priya Driver107,Mumbai,full_day,7.3,190,39,4.9,GOAL106,06:02:00,12:12:00,1172.0,8.3,456.0,6.6,in_progress,69.09,at_risk,TRIP168,06:36:00,06:10:00,34.0,17.5,325.0,1.6,Gurgaon Cyber City,Bandra,completed,10.0,0,0,8.007246720344796,340.71,340.71,340.71,340.71,340.71,-157.70999999999998,340.71
VEL028,DRV008,2024-02-06,1900-01-01 19:35:00,1056.9949736694193,1.3,551.1155837736912,165.0,649.62,9,ahead,Divya Menon,Chennai,full_day,9.0,188,22,4.8,GOAL207,06:31:00,12:41:00,1283.0,7.5,869.0,2.5,at_risk,347.6,ahead,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,19.0,0,0,6.860650946807021,600.0,600.0,600.0,442.47333333333336,297.07800000000003,-435.0,127.42
VEL201,DRV095,2024-02-06,1900-01-01 11:15:00,1661.0,2.93,566.89,200.0,366.89,5,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP007,10:48:00,11:15:00,27.0,13.8,245.0,1.0,Andheri,Malad,completed,11.0,0,0,1.706484641638225,245.41,245.41,189.2,352.57,287.222,-366.89,566.89
VEL111,DRV042,2024-02-06,1900-01-01 08:32:00,1431.000501082628,6.84,229.85830271572866,205.0,4.06,2,ahead,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,GOAL041,06:53:00,13:03:00,1298.0,7.3,892.0,7.5,achieved,118.93,at_risk,TRIP051,09:57:00,09:30:00,33.0,14.7,363.0,1.3,BKC,Goregaon,completed,8.0,0,0,0.292202579068298,209.06,49.8,49.8,155.97333333333333,113.50399999999999,-4.060000000000002,209.06
VEL076,DRV082,2024-02-06,1900-01-01 07:38:00,2164.1360091942247,5.71,391.8925119186303,198.0,179.93,15,ahead,Anita Driver82,Pune,morning,7.0,204,34,4.6,GOAL081,08:07:00,18:17:00,1593.0,9.8,363.0,2.4,at_risk,151.25,ahead,TRIP124,10:28:00,10:50:00,22.0,19.8,293.0,1.5,Kharadi,Connaught Place,completed,7.0,0,0,2.613740380227123,377.93,377.93,189.2,334.75,287.222,-179.93,26.32
VEL111,DRV042,2024-02-06,1900-01-01 08:32:00,1433.553811224822,6.84,196.60651273874302,205.0,4.06,2,ahead,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,GOAL041,06:53:00,13:03:00,1298.0,7.3,892.0,7.5,achieved,118.93,at_risk,TRIP144,06:48:00,06:18:00,30.0,13.8,442.0,1.4,Secunderabad,CP,completed,8.0,0,0,0.2995637684769878,209.06,209.06,209.06,209.06,177.208,-4.060000000000002,600.0
VEL043,DRV047,2024-02-06,1900-01-01 08:32:00,364.77243062451805,6.87,54.703377788584206,184.0,-130.0,8,at_risk,Priya Driver47,Hyderabad,afternoon,7.0,193,8,4.7,GOAL046,09:11:00,19:21:00,1219.0,9.5,969.0,3.5,achieved,276.86,ahead,TRIP169,07:43:00,07:01:00,18.0,16.6,404.0,1.6,Lower Parel,Koramangala,completed,8.0,0,0,1.1964009827429083,54.0,54.0,54.0,48.16,287.222,130.0,36.48
VEL015,DRV095,2024-02-06,1900-01-01 07:38:00,404.54561619086866,2.13,195.9537801401601,157.14,32.06,2,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP007,10:48:00,11:15:00,27.0,13.8,245.0,1.0,Andheri,Malad,completed,7.0,1,0,0.964743629366191,189.2,189.2,189.2,207.93666666666664,287.222,-32.06,189.2
VEL016,DRV103,2024-02-06,1900-01-01 07:28:00,243.5477845297648,1.47,155.63644956011044,171.43,-4.76,1,at_risk,Amit Driver103,Bangalore,afternoon,7.7,192,21,4.9,GOAL102,09:59:00,17:09:00,1537.0,8.8,862.0,3.2,in_progress,269.38,at_risk,TRIP163,13:01:00,13:39:00,38.0,12.4,210.0,1.1,Goregaon,Gurgaon Cyber City,completed,7.0,1,0,0.6974068196119877,166.67,340.71,340.71,340.71,340.71,4.760000000000019,32.91
VEL069,DRV039,2024-02-06,1900-01-01 10:28:00,1437.0,1.42,600.0,173.0,838.97,10,ahead,Pooja Driver39,Delhi,morning,8.2,183,48,4.9,GOAL038,07:51:00,17:01:00,1524.0,7.7,883.0,3.8,at_risk,232.37,on_track,TRIP136,10:52:00,10:13:00,21.0,17.8,236.0,1.5,Goregaon,South Delhi,completed,10.0,0,0,7.042253521126761,600.0,600.0,600.0,600.0,443.724,-427.0,600.0
VEL056,DRV011,2024-02-06,1900-01-01 09:42:00,2062.0684846732056,6.99,280.4095634172493,189.0,104.13,5,ahead,Neha Driver11,Ahmedabad,morning,6.3,184,8,4.6,GOAL210,06:48:00,12:58:00,1540.0,9.5,443.0,4.0,achieved,110.75,at_risk,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,9.0,0,0,0.7437676549520645,293.13,293.13,293.13,300.50333333333333,443.724,-104.13,293.13
VEL093,DRV025,2024-02-06,1900-01-01 07:38:00,520.3202649603061,3.22,150.37268765454488,186.0,-26.37,13,at_risk,Rekha Driver25,Pune,morning,7.3,198,14,4.8,GOAL024,07:10:00,14:20:00,1283.0,9.1,305.0,4.2,achieved,72.62,ahead,TRIP159,09:33:00,09:54:00,21.0,16.5,364.0,1.5,CP,Jayanagar,completed,7.0,0,0,3.898818963390318,159.63,159.63,159.63,246.22666666666666,443.724,26.370000000000005,449.4
VEL081,DRV039,2024-02-06,1900-01-01 10:28:00,1040.5802499251165,4.94,205.09461731965098,182.0,27.31,3,ahead,Pooja Driver39,Delhi,morning,8.2,183,48,4.9,GOAL038,07:51:00,17:01:00,1524.0,7.7,883.0,3.8,at_risk,232.37,on_track,TRIP146,08:02:00,08:30:00,28.0,14.6,277.0,1.5,Connaught Place,South Delhi,completed,10.0,0,0,0.6040303026632687,209.31,209.31,600.0,209.31,365.586,-27.310000000000002,424.84
VEL107,DRV084,2024-02-06,1900-01-01 07:38:00,2023.094079910523,1.87,583.2632769607294,187.0,895.89,13,ahead,Amit Driver84,Kolkata,evening,6.4,197,45,4.6,GOAL083,06:43:00,16:53:00,1693.0,7.2,308.0,7.4,at_risk,41.62,on_track,TRIP124,10:28:00,10:50:00,22.0,19.8,293.0,1.5,Kharadi,Connaught Place,completed,7.0,0,0,7.077456460955093,600.0,74.79,189.2,74.79,287.222,-413.0,600.0
VEL111,DRV042,2024-02-06,1900-01-01 08:32:00,1421.7310052615528,6.84,227.6848133570505,205.0,4.06,2,ahead,Lakshmi Driver42,Hyderabad,morning,8.0,184,24,4.6,GOAL041,06:53:00,13:03:00,1298.0,7.3,892.0,7.5,achieved,118.93,at_risk,TRIP144,06:48:00,06:18:00,30.0,13.8,442.0,1.4,Secunderabad,CP,completed,8.0,0,0,0.3217404182768271,209.06,209.06,209.06,209.06,177.208,-4.060000000000002,600.0
